PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_C,Embarked_Q,Embarked_S,Fare per person,Relatives,Deck
1,0,3,0,22.0,1,0,7.25,0,0,1,3.625,1,4
2,1,1,1,38.0,1,0,71.2833,1,0,0,35.64165,1,1
3,1,3,1,26.0,0,0,7.925,0,0,1,7.925,0,2
4,1,1,1,35.0,1,0,53.1,0,0,1,26.55,1,1
5,0,3,0,35.0,0,0,8.05,0,0,1,8.05,0,2
6,0,3,0,26.0,0,0,8.4583,0,1,0,8.4583,0,2
7,0,1,0,54.0,0,0,51.8625,0,0,1,51.8625,0,2
8,0,3,0,2.0,3,1,21.075,0,0,1,4.215,4,4
9,1,3,1,27.0,0,2,11.1333,0,0,1,3.7111,2,4
10,1,2,1,14.0,1,0,30.0708,1,0,0,15.0354,1,2
11,1,3,1,4.0,1,1,16.7,0,0,1,5.566666666666666,2,4
12,1,1,1,58.0,0,0,26.55,0,0,1,26.55,0,1
13,0,3,0,20.0,0,0,8.05,0,0,1,8.05,0,2
14,0,3,0,39.0,1,5,31.275,0,0,1,4.4678571428571425,6,4
15,0,3,1,14.0,0,0,7.8542,0,0,1,7.8542,0,3
16,1,2,1,55.0,0,0,16.0,0,0,1,16.0,0,2
17,0,3,0,2.0,4,1,29.125,0,1,0,4.854166666666667,5,4
18,1,2,0,31.0,0,0,13.0,0,0,1,13.0,0,2
19,0,3,1,31.0,1,0,18.0,0,0,1,9.0,1,3
20,1,3,1,31.0,0,0,7.225,1,0,0,7.225,0,3
21,0,2,0,35.0,0,0,26.0,0,0,1,26.0,0,2
22,1,2,0,34.0,0,0,13.0,0,0,1,13.0,0,2
23,1,3,1,15.0,0,0,8.0292,0,1,0,8.0292,0,2
24,1,1,0,28.0,0,0,35.5,0,0,1,35.5,0,0
25,0,3,1,8.0,3,1,21.075,0,0,1,4.215,4,4
26,1,3,1,38.0,1,5,31.3875,0,0,1,4.483928571428572,6,4
27,0,3,0,26.0,0,0,7.225,1,0,0,7.225,0,3
28,0,1,0,19.0,3,2,263.0,0,0,1,43.833333333333336,5,1
29,1,3,1,18.0,0,0,7.8792,0,1,0,7.8792,0,3
30,0,3,0,26.0,0,0,7.8958,0,0,1,7.8958,0,3
31,0,1,0,40.0,0,0,27.7208,1,0,0,27.7208,0,1
32,1,1,1,41.5,1,0,146.5208,1,0,0,73.2604,1,1
33,1,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
34,0,2,0,66.0,0,0,10.5,0,0,1,10.5,0,2
35,0,1,0,28.0,1,0,82.1708,1,0,0,41.0854,1,1
36,0,1,0,42.0,1,0,52.0,0,0,1,26.0,1,1
37,1,3,0,26.0,0,0,7.2292,1,0,0,7.2292,0,3
38,0,3,0,21.0,0,0,8.05,0,0,1,8.05,0,2
39,0,3,1,18.0,2,0,18.0,0,0,1,6.0,2,3
40,1,3,1,14.0,1,0,11.2417,1,0,0,5.62085,1,4
41,0,3,1,40.0,1,0,9.475,0,0,1,4.7375,1,4
42,0,2,1,27.0,1,0,21.0,0,0,1,10.5,1,2
43,0,3,0,26.0,0,0,7.8958,1,0,0,7.8958,0,3
44,1,2,1,3.0,1,2,41.5792,1,0,0,10.3948,3,2
45,1,3,1,19.0,0,0,7.8792,0,1,0,7.8792,0,3
46,0,3,0,26.0,0,0,8.05,0,0,1,8.05,0,2
47,0,3,0,26.0,1,0,15.5,0,1,0,7.75,1,2
48,1,3,1,18.0,0,0,7.75,0,1,0,7.75,0,3
49,0,3,0,26.0,2,0,21.6792,1,0,0,7.226400000000001,2,3
50,0,3,1,18.0,1,0,17.8,0,0,1,8.9,1,3
51,0,3,0,7.0,4,1,39.6875,0,0,1,6.614583333333333,5,3
52,0,3,0,21.0,0,0,7.8,0,0,1,7.8,0,3
53,1,1,1,49.0,1,0,76.7292,1,0,0,38.3646,1,2
54,1,2,1,29.0,1,0,26.0,0,0,1,13.0,1,2
55,0,1,0,65.0,0,1,61.9792,1,0,0,30.9896,1,1
56,1,1,0,40.0,0,0,35.5,0,0,1,35.5,0,1
57,1,2,1,21.0,0,0,10.5,0,0,1,10.5,0,2
58,0,3,0,28.5,0,0,7.2292,1,0,0,7.2292,0,3
59,1,2,1,5.0,1,2,27.75,0,0,1,6.9375,3,3
60,0,3,0,11.0,5,2,46.9,0,0,1,5.8625,7,4
61,0,3,0,22.0,0,0,7.2292,1,0,0,7.2292,0,3
62,1,1,1,38.0,0,0,80.0,0,0,1,80.0,0,1
63,0,1,0,45.0,1,0,83.475,0,0,1,41.7375,1,1
64,0,3,0,4.0,3,2,27.9,0,0,1,4.6499999999999995,5,4
65,0,1,0,40.0,0,0,27.7208,1,0,0,27.7208,0,1
66,1,3,0,4.0,1,1,15.2458,1,0,0,5.081933333333333,2,4
67,1,2,1,29.0,0,0,10.5,0,0,1,10.5,0,3
68,0,3,0,19.0,0,0,8.1583,0,0,1,8.1583,0,2
